Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,false,MULTIPLE_CHOICE,Utilisation et traitement des données (Adresse e-mail)/Pourquoi ces données utilisateur sont-elles collectées ? Plusieurs réponses possibles./Personnalisation
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,true,MULTIPLE_CHOICE,Utilisation et traitement des données (Adresse e-mail)/Pourquoi ces données utilisateur sont-elles collectées ? Plusieurs réponses possibles./Gestion des comptes
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,false,MULTIPLE_CHOICE,Utilisation et traitement des données (Adresse e-mail)/Pourquoi ces données utilisateur sont-elles partagées ? Plusieurs réponses possibles./Fonctionnement de l'appli
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,false,MULTIPLE_CHOICE,Utilisation et traitement des données (Adresse e-mail)/Pourquoi ces données utilisateur sont-elles partagées ? Plusieurs réponses possibles./Analyse
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,false,MULTIPLE_CHOICE,Utilisation et traitement des données (Adresse e-mail)/Pourquoi ces données utilisateur sont-elles partagées ? Plusieurs réponses possibles./Communications du développeur
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,false,MULTIPLE_CHOICE,"Utilisation et traitement des données (Adresse e-mail)/Pourquoi ces données utilisateur sont-elles partagées ? Plusieurs réponses possibles./Prévention des fraudes, sécurité et conformité"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,false,MULTIPLE_CHOICE,Utilisation et traitement des données (Adresse e-mail)/Pourquoi ces données utilisateur sont-elles partagées ? Plusieurs réponses possibles./Publicité ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,false,MULTIPLE_CHOICE,Utilisation et traitement des données (Adresse e-mail)/Pourquoi ces données utilisateur sont-elles partagées ? Plusieurs réponses possibles./Personnalisation
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,false,MULTIPLE_CHOICE,Utilisation et traitement des données (Adresse e-mail)/Pourquoi ces données utilisateur sont-elles partagées ? Plusieurs réponses possibles./Gestion des comptes
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,"Utilisation et traitement des données (ID utilisateur)/Ces données sont-elles collectées, partagées ou les deux ?/Collectées"
