display_name,category,sector,country_codes,barcodes,aliases,image_url,unit,tags,supplier_suggestions,marketplace_matches,publication_status,notes,reference_price,sale_price,supplier_hint,verified,added_by_count
Alfuzosine 5mg comprimé,comprimé,pharmacie,SN,,Alfuzosine 5mg comprimé|Alfuzosine,,,medicament|senegal|comprimé,,,draft,Niveaux: + + | Source: Alfuzosine 5mg comprimé + +,,,,false,1
Alfuzosine 10mg comprimé - Xatral XXX-2 Antiparkinsonien,comprimé,pharmacie,SN,,Alfuzosine 10mg comprimé|Alfuzosine|Xatral XXX-2 Antiparkinsonien,,,medicament|senegal|comprimé,,,draft,Niveaux: + + | Source: Alfuzosine 10mg comprimé + + Xatral XXX-2 Antiparkinsonien,,,Xatral XXX-2 Antiparkinsonien,false,1
"Levodopa/ benserazide chlorhydrate 50 mg / 12,5 mg comprimé - Modopar",comprimé,pharmacie,SN,,"Levodopa/ benserazide chlorhydrate 50 mg / 12,5 mg comprimé|Levodopa/ benserazide chlorhydrate|Modopar",,,medicament|senegal|comprimé,,,draft,"Niveaux: + + | Source: Levodopa/ benserazide chlorhydrate 50 mg / 12,5 mg comprimé + + Modopar",,,Modopar,false,1
Levodopa/ benserazide chlorhydrate 100 mg / 25 mg comprimé - Modopar 51,comprimé,pharmacie,SN,,Levodopa/ benserazide chlorhydrate 100 mg / 25 mg comprimé|Levodopa/ benserazide chlorhydrate|Modopar 51,,,medicament|senegal|comprimé,,,draft,Niveaux: + + | Source: Levodopa/ benserazide chlorhydrate 100 mg / 25 mg comprimé + + Modopar 51,,,Modopar 51,false,1
Levodopa/ benserazide chlorhydrate 200mg / 50 mg comprimé - Modopar XXX-3 Anticholinesterasiques/ Traitement de la démence,comprimé,pharmacie,SN,,Levodopa/ benserazide chlorhydrate 200mg / 50 mg comprimé|Levodopa/ benserazide chlorhydrate|Modopar XXX-3 Anticholinesterasiques/ Traitement de la démence,,,medicament|senegal|comprimé,,,draft,Niveaux: + + | Source: Levodopa/ benserazide chlorhydrate 200mg / 50 mg comprimé + + Modopar XXX-3 Anticholinesterasiques/ Traitement de la démence,,,Modopar XXX-3 Anticholinesterasiques/ Traitement de la démence,false,1
Donepézil chlorhydrate 10mg - Aricept,M?dicament,pharmacie,SN,,Donepézil chlorhydrate 10mg|Donepézil chlorhydrate|Aricept,,,medicament|senegal,,,draft,Niveaux: + + | Source: Donepézil chlorhydrate 10mg + + Aricept,,,Aricept,false,1
Donepézil chlorhydrate 5mg - Aricept XXX-4 Neurologie,M?dicament,pharmacie,SN,,Donepézil chlorhydrate 5mg|Donepézil chlorhydrate|Aricept XXX-4 Neurologie,,,medicament|senegal,,,draft,Niveaux: + + | Source: Donepézil chlorhydrate 5mg + + Aricept XXX-4 Neurologie,,,Aricept XXX-4 Neurologie,false,1
Extrait de ginko biloba 40mg - Tanakan,M?dicament,pharmacie,SN,,Extrait de ginko biloba 40mg|Extrait de ginko biloba|Tanakan,,,medicament|senegal,,,draft,Niveaux: + + | Source: Extrait de ginko biloba 40mg + + Tanakan,,,Tanakan,false,1
Piracétam 800mg comprimé - Nootropyl XXX-5 Vaccin,comprimé,pharmacie,SN,,Piracétam 800mg comprimé|Piracétam|Nootropyl XXX-5 Vaccin,,,medicament|senegal|comprimé,,,draft,Niveaux: + + | Source: Piracétam 800mg comprimé + + Nootropyl XXX-5 Vaccin,,,Nootropyl XXX-5 Vaccin,false,1
Antigrippal - Vaxigrip XXXI- PROGRAMME NATIONAL DE PROMOTION DE LA SANTE OCULAIRE,M?dicament,pharmacie,SN,,Antigrippal|Vaxigrip XXXI- PROGRAMME NATIONAL DE PROMOTION DE LA SANTE OCULAIRE,,,medicament|senegal,,,draft,Niveaux: + + + | Source: Antigrippal + + + Vaxigrip XXXI- PROGRAMME NATIONAL DE PROMOTION DE LA SANTE OCULAIRE,,,Vaxigrip XXXI- PROGRAMME NATIONAL DE PROMOTION DE LA SANTE OCULAIRE,false,1
Substance viscoélastique (méthylcellulose),M?dicament,pharmacie,SN,,Substance viscoélastique (méthylcellulose),,,medicament|senegal,,,draft,Niveaux: + + | Source: Substance viscoélastique (méthylcellulose) + +,,,,false,1
Implant,Implant,pharmacie,SN,,Implant,,,medicament|senegal|implant,,,draft,Niveaux: + + | Source: Implant chambre postérieure + +,,,,false,1
"SNRM polyamide noir serti 30cm 6,2 mm-3/8 cr – code 87770- USP=10/0 + + 52",M?dicament,pharmacie,SN,,"SNRM polyamide noir serti 30cm 6,2 mm-3/8 cr – code 87770- USP=10/0 + + 52|SNRM polyamide noir serti",,,medicament|senegal,,,draft,"Source: SNRM polyamide noir serti 30cm 6,2 mm-3/8 cr – code 87770- USP=10/0 + + 52",,,,false,1
SNRM soie de traction noir serti 75cm 16 mm-3/8 cr – code f2250- USP=3/0,M?dicament,pharmacie,SN,,SNRM soie de traction noir serti 75cm 16 mm-3/8 cr – code f2250- USP=3/0|SNRM soie de traction noir serti,,,medicament|senegal,,,draft,Niveaux: + + | Source: SNRM soie de traction noir serti 75cm 16 mm-3/8 cr – code f2250- USP=3/0 + +,,,,false,1
"SNRM soie de traction noir serti 30cm 6,6 mm-3/8 cr – code f7752- USP=8/0",M?dicament,pharmacie,SN,,"SNRM soie de traction noir serti 30cm 6,6 mm-3/8 cr – code f7752- USP=8/0|SNRM soie de traction noir serti",,,medicament|senegal,,,draft,"Niveaux: + + | Source: SNRM soie de traction noir serti 30cm 6,6 mm-3/8 cr – code f7752- USP=8/0 + +",,,,false,1
"SRT polyglactine 910-(vicryl monofil) serti 30cm 6,6 mm-3/8 cr – code jv7440- USP=10/0",M?dicament,pharmacie,SN,,"SRT polyglactine 910-(vicryl monofil) serti 30cm 6,6 mm-3/8 cr – code jv7440- USP=10/0|SRT polyglactine",,,medicament|senegal,,,draft,"Niveaux: + + | Source: SRT polyglactine 910-(vicryl monofil) serti 30cm 6,6 mm-3/8 cr – code jv7440- USP=10/0 + +",,,,false,1
"SRT polyglactine 910-(vicryl monofil) serti 45cm 7,6 mm-3/8 cr – code jv551- USP=6/0",M?dicament,pharmacie,SN,,"SRT polyglactine 910-(vicryl monofil) serti 45cm 7,6 mm-3/8 cr – code jv551- USP=6/0|SRT polyglactine",,,medicament|senegal,,,draft,"Niveaux: + + | Source: SRT polyglactine 910-(vicryl monofil) serti 45cm 7,6 mm-3/8 cr – code jv551- USP=6/0 + +",,,,false,1
